iso,year,log_gdp_pc_ppp,coc,hdi,reserves_coal,reserves_gas,reserves_oil,length_sequence,carbon_pricing
CHL,2013,9.579222708015156,1.54,0.758,0.07408743106953067,5.575851046617449,0.0013572045725513912,1.5,0.0
CHL,2014,9.586124400316367,1.49,0.7829999999999999,0.0733053878296651,5.51699414532454,0.0013428783549223535,2.5,1.0
CHL,2015,9.597123135316064,1.28,0.7909999999999999,0.07244712108770064,5.452400631386012,0.0013271558021242982,2.5,1.0
CHL,2016,9.600438520542331,1.14,0.799,0.07149338033261661,5.380621703291634,0.0013096842648454062,2.5,1.0
CHL,2017,9.598897379101787,1.11,0.804,0.07048172444233176,5.304484057901181,0.0012911517826102669,4.0,1.0
CHL,2018,9.624445006495474,1.04,0.805,0.06950806618938611,5.231206130587983,0.0012733153775153186,4.0,1.0
CHL,2019,9.624445006495474,1.07,0.81,0.06869067675318244,5.169689059776432,0.001258341654383662,4.0,1.0
CHL,2020,9.624445006495474,1.15,0.81,0.06869067675318244,5.125290689173778,0.0012475347531425856,4.0,1.0
CHN,1988,6.542565316058876,-0.27,0.405,0.09528103166484858,0.7891268030100851,0.002655493437877824,1.0,0.0
CHN,1989,6.568239925429362,-0.27,0.405,0.09528103166484858,0.8024337907298976,0.003347031874944281,2.0,0.0
CHN,1990,6.591894071775749,-0.27,0.405,0.09528103166484858,0.8805463779031611,0.003361303762940782,2.0,0.0
CHN,1991,6.667121739174269,-0.27,0.411,0.09528103166484858,0.8686134969325153,0.0033157524567110404,2.0,0.0
CHN,1992,6.787789015615826,-0.27,0.42,0.09528103166484858,0.8604639776131574,0.003275364697918343,2.0,0.0
CHN,1993,6.906158794622037,-0.27,0.4270000000000001,0.09528103166484858,1.1870353348494618,0.003237926082052486,2.0,0.0
CHN,1994,7.017535296141415,-0.27,0.4270000000000001,0.09528103166484858,1.4017806156053478,0.0032015351220042467,2.2,0.0
CHN,1995,7.110572704258969,-0.27,0.442,0.09528103166484858,1.3866325823439334,0.0031669384383464657,2.2,0.0
CHN,1996,7.19475009740018,-0.27,0.45,0.09528103166484858,1.37217461295224,0.003133917795683077,2.4,0.0
CHN,1997,7.272808204303862,-0.27,0.457,0.09528103166484858,0.952054059793102,0.00310200728584349,3.0,0.0
CHN,1998,7.33866903504818,-0.27,0.465,0.09528103166484858,0.9348225148659148,0.003072384313296534,3.0,0.0
CHN,1999,7.403887981149849,-0.27,0.473,0.09528103166484858,1.0917723540892528,0.003045896867361359,3.0,0.0
CHN,2000,7.47751013639897,-0.22,0.481,0.09528103166484858,1.0832034657405685,0.00302199083046615,3.0,0.0
CHN,2001,7.550349748619072,-0.22,0.488,0.09528103166484858,1.075363792900106,0.003000119205986501,3.6,0.0
CHN,2002,7.631025318099026,-0.52,0.5,0.09528103166484858,1.0681829428303655,0.002980085607727219,3.6,0.0
CHN,2003,7.720430500049227,-0.36,0.514,0.09528103166484858,1.1719911207699472,0.0022520359367382108,3.6,0.0
CHN,2004,7.810811963208353,-0.56,0.522,0.09528103166484858,1.16505091140559,0.0022386999987604964,4.8,0.0
CHN,2005,7.9128499361566975,-0.61,0.535,0.09528103166484858,1.1582190654435,0.0022255722861454228,4.8,0.0
CHN,2006,8.026998252185791,-0.51,0.551,0.09528103166484858,1.151769889093988,0.002213179891148503,5.6,0.0
CHN,2007,8.154831458441805,-0.59,0.565,0.09528103166484858,1.7189238818258044,0.0019302147567928567,5.6,0.0
CHN,2008,8.241869996001274,-0.52,0.5770000000000001,0.09528103166484858,1.7101388663463315,0.0019203498833703528,5.8,0.0
CHN,2009,8.326735178234035,-0.51,0.586,0.09480829815362887,1.7016540720820876,0.0019108221344860921,5.8,0.0
CHN,2010,8.422982198369231,-0.56,0.602,0.0943515162162061,2.2649968416055857,0.002418617701178683,6.2,0.0
CHN,2011,8.509409917889212,-0.51,0.61,0.0939005118552521,2.254170057955704,0.0024070566031226363,6.2,0.0
CHN,2012,8.580198057011373,-0.44,0.617,0.09344411210524953,2.243213752919793,0.002395357199038443,6.2,0.0
CHN,2013,8.650077252407904,-0.36,0.627,0.10398524257761277,2.9467930135997285,0.0027779076847387987,6.2,0.0
CHN,2014,8.715468116635337,-0.34,0.633,0.10634216712234383,3.2251101450592623,0.002840652761083823,6.2,0.0
CHN,2015,8.777160114956395,-0.28,0.642,0.10746079517509954,3.3858857157859434,0.0028579363072250307,6.2,0.0
CHN,2016,8.836939966176164,-0.25,0.647,0.10866908134318344,3.58685833846511,0.0028982348392510944,6.2,0.0
