,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-5.551115123125783e-17,0.2078371204547433,0.9999999999999998,15.0,0.5371828360115769,0.35205597041620773
log_gdp_pc_ppp,0.42796120308258184,0.28300189369290163,0.1614180424102261,15.0,0.5371828360115769,0.35205597041620773
reserves_coal,0.11370157476035944,0.15658713223410467,0.48441150258337484,15.0,0.5371828360115769,0.35205597041620773
reserves_oil,-0.23987803195832896,0.10483104040408721,0.0451490426279658,15.0,0.5371828360115769,0.35205597041620773
length_sequence,0.45651531489613073,0.1823689072697773,0.03127212102385893,15.0,0.5371828360115769,0.35205597041620773
