,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,6.800116025829084e-16,0.204348290542159,0.9999999999999973,15.0,0.5078495046544331,0.37362664228746034
log_gdp_pc_ppp,0.3801332742690936,0.32067534126895275,0.2608302038363576,15.0,0.5078495046544331,0.37362664228746034
reserves_gas,-0.2919620864190191,0.18208456824091207,0.13714035607603065,15.0,0.5078495046544331,0.37362664228746034
year_adoption,-0.2904362494398839,0.2586941487576437,0.2854716482121023,15.0,0.5078495046544331,0.37362664228746034
