,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,0.5130004318715726,0.337056543327769,0.2674289855418796,7.0,0.9395012612847027,0.818503783854108
log_gdp_pc_ppp,-0.06941134783524117,0.3132549549202769,0.8452070600775471,7.0,0.9395012612847027,0.818503783854108
reserves_coal,-1.0531105313725224,0.16631377205712164,0.024044800702158836,7.0,0.9395012612847027,0.818503783854108
reserves_oil,0.5451305930156702,0.25012969663408313,0.16113609216827748,7.0,0.9395012612847027,0.818503783854108
year_adoption,-1.0278968766651722,0.7016084261731493,0.2805187966453264,7.0,0.9395012612847027,0.818503783854108
