,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-5.551115123125783e-17,0.21397519640459695,0.9999999999999998,15.0,0.6566096149271061,0.31321922985421224
log_gdp_pc_ppp,-0.16428310774658553,0.5270048019109135,0.7643254620341997,15.0,0.6566096149271061,0.31321922985421224
reserves_coal,0.16976273848571893,0.4445284379886892,0.7138689086434269,15.0,0.6566096149271061,0.31321922985421224
reserves_gas,0.2512070363993365,0.47685239284928127,0.6146064615052529,15.0,0.6566096149271061,0.31321922985421224
reserves_oil,-0.23465920675975416,0.21073576414537482,0.3022532198833179,15.0,0.6566096149271061,0.31321922985421224
coc,0.8995246381150974,0.4599977073597837,0.09142407641792011,15.0,0.6566096149271061,0.31321922985421224
hdi,-0.3499484747906709,0.2311820956983011,0.17386075814500745,15.0,0.6566096149271061,0.31321922985421224
length_sequence,0.5140062501006356,0.1584410534260046,0.014171494676166251,15.0,0.6566096149271061,0.31321922985421224
