,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-1.0346239561075898,0.18769715394877493,0.031371206893160586,7.0,0.5423888493534041,-0.37283345193978756
log_gdp_pc_ppp,-0.9892331949073485,1.030313416457701,0.4383049179595073,7.0,0.5423888493534041,-0.37283345193978756
reserves_coal,-1.0621260244736968,0.8411181322491297,0.33396539008986115,7.0,0.5423888493534041,-0.37283345193978756
reserves_oil,0.5580508228731655,0.261874941612378,0.16678914877507964,7.0,0.5423888493534041,-0.37283345193978756
length_sequence,0.7980119701884651,0.9230699565450216,0.4784279375246573,7.0,0.5423888493534041,-0.37283345193978756
