,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,0.14398441945950638,0.3312844103508112,0.6730638085155619,15.0,0.47493323868724935,0.26490653416214915
log_gdp_pc_ppp,0.5182415826060862,0.24659828339874462,0.06191446942103531,15.0,0.47493323868724935,0.26490653416214915
reserves_coal,0.0775464454894734,0.16888420058366083,0.655931654889375,15.0,0.47493323868724935,0.26490653416214915
reserves_oil,-0.3603094342071937,0.2231045792817761,0.137388611575515,15.0,0.47493323868724935,0.26490653416214915
length_sequence,0.399298165051622,0.36841376482677274,0.30387918858617124,15.0,0.47493323868724935,0.26490653416214915
