,ATE
0,-1.5333333333333332
1,0.2666666666666666
2,-0.1333333333333333
3,-1.0666666666666669
4,-0.8666666666666667
5,-0.2666666666666666
6,0.7999999999999998
7,-1.5333333333333337
8,0.9333333333333336
9,1.1999999999999997
10,0.8666666666666667
11,0.0
12,0.7999999999999998
13,0.19999999999999973
14,1.2000000000000002
15,-0.4666666666666668
16,0.20000000000000062
17,-0.2666666666666666
18,0.3999999999999999
19,0.33333333333333304
20,-1.8666666666666671
21,-0.6666666666666661
22,-1.5333333333333328
23,0.0
24,-1.5999999999999996
25,0.20000000000000018
26,-1.0
27,-1.266666666666667
28,0.3333333333333335
29,0.7333333333333334
30,0.06666666666666687
31,-1.3999999999999995
32,-0.4666666666666668
33,-0.6000000000000001
34,-0.2666666666666666
35,-1.0666666666666669
36,1.1333333333333337
37,-1.4666666666666668
38,-1.0666666666666664
39,-0.39999999999999947
40,0.9333333333333336
41,-0.20000000000000018
42,1.333333333333333
43,-0.3333333333333335
44,-0.8666666666666671
45,1.1333333333333333
46,0.20000000000000018
47,-1.4
48,-0.46666666666666723
49,-0.4666666666666668
50,-0.666666666666667
51,0.1333333333333333
52,0.5333333333333332
53,-0.2666666666666666
54,0.3999999999999999
55,-0.19999999999999973
56,0.7999999999999998
57,0.8000000000000003
58,1.1333333333333333
59,-1.4666666666666672
60,0.8666666666666667
61,-0.06666666666666687
62,0.0
63,0.2666666666666666
64,-0.3999999999999999
65,0.0
66,-0.20000000000000018
67,0.6666666666666665
68,0.1333333333333333
69,0.7999999999999998
70,-0.2666666666666666
71,-0.7999999999999998
72,0.20000000000000018
73,0.20000000000000018
74,-0.9333333333333336
75,1.8666666666666667
76,1.2666666666666666
77,-0.2666666666666666
78,-1.2000000000000002
79,1.2000000000000002
80,-1.2666666666666666
81,0.6666666666666665
82,1.266666666666667
83,-0.8666666666666663
84,0.0
85,-1.4666666666666663
86,0.1333333333333333
87,-1.4666666666666663
88,-1.2000000000000002
89,-0.19999999999999973
90,0.733333333333333
91,0.6666666666666665
92,-0.2666666666666666
93,-1.6000000000000005
94,0.1333333333333333
95,-0.5333333333333337
96,-1.2666666666666666
97,0.3999999999999999
98,0.3333333333333335
99,-1.0666666666666669
100,0.46666666666666634
101,-0.6666666666666665
102,-0.6666666666666665
103,-0.1333333333333333
104,1.5333333333333332
105,0.9333333333333331
106,-1.0
107,-1.4666666666666663
108,0.6000000000000001
109,-0.4666666666666668
110,0.33333333333333304
111,0.9333333333333331
112,-0.06666666666666643
113,0.3999999999999999
114,0.3999999999999999
115,-0.3333333333333335
116,-0.7999999999999998
117,0.2666666666666666
118,-1.1333333333333333
119,0.666666666666667
120,0.40000000000000036
121,-0.2666666666666666
122,-1.0666666666666669
123,1.1333333333333333
124,-0.4666666666666668
125,0.2666666666666666
126,0.4666666666666668
127,-0.7999999999999998
128,-0.6666666666666665
129,0.0
130,1.1333333333333333
131,-1.4666666666666668
132,-0.06666666666666643
133,0.3999999999999999
134,-0.666666666666667
135,1.9999999999999996
136,-0.06666666666666687
137,0.5333333333333332
138,1.1333333333333333
139,-0.3333333333333335
140,-1.4666666666666663
141,-1.5333333333333328
142,-0.3333333333333335
143,0.8000000000000003
144,-0.1999999999999993
145,1.9333333333333331
146,-0.7333333333333334
147,1.333333333333334
148,-0.8000000000000003
149,0.3999999999999999
150,0.733333333333333
151,-0.3333333333333335
152,0.9333333333333331
153,0.1333333333333333
154,-1.8666666666666663
155,0.2666666666666666
156,-1.7333333333333334
157,-1.266666666666667
158,0.06666666666666643
159,-0.4666666666666668
160,1.0000000000000004
161,1.733333333333333
162,-0.6666666666666665
163,-0.5333333333333332
164,0.20000000000000018
165,-0.3333333333333335
166,-1.1333333333333333
167,-0.6666666666666665
168,0.7333333333333338
169,0.26666666666666705
170,-0.4666666666666668
171,0.06666666666666687
172,-0.7333333333333334
173,-0.9333333333333336
174,0.2666666666666666
175,1.2666666666666666
176,-0.6666666666666665
177,-1.2666666666666666
178,-0.06666666666666643
179,-0.7333333333333334
180,0.6000000000000001
181,2.1333333333333333
182,1.1333333333333333
183,-0.3999999999999999
184,1.7333333333333334
185,-1.0666666666666664
186,-0.8666666666666667
187,-1.2666666666666666
188,-1.1333333333333329
189,-0.33333333333333304
190,-0.7999999999999998
191,-0.06666666666666687
192,-0.20000000000000062
193,1.1333333333333333
194,-0.20000000000000018
195,0.20000000000000018
196,0.4666666666666668
197,-0.3333333333333335
198,0.2666666666666666
199,0.6000000000000001
200,-0.5333333333333332
201,-0.46666666666666634
202,-0.1333333333333333
203,0.6666666666666665
204,0.8000000000000003
205,-1.333333333333333
206,-0.6666666666666665
207,0.6000000000000001
208,-0.7333333333333334
209,1.0666666666666669
210,-0.3333333333333335
211,0.20000000000000018
212,-0.1333333333333333
213,-0.5333333333333332
214,-0.1333333333333333
215,0.8666666666666667
216,0.7999999999999998
217,0.4666666666666668
218,-1.6000000000000005
219,-1.1333333333333333
220,0.1333333333333333
221,0.4666666666666668
222,-0.7999999999999998
223,-0.46666666666666634
224,-1.0
225,-0.3999999999999999
226,-0.33333333333333304
227,0.3333333333333335
228,2.0000000000000004
229,0.3333333333333335
230,1.1999999999999997
231,-0.2666666666666666
232,-0.6000000000000001
233,-0.3999999999999999
234,-0.6000000000000001
235,-0.19999999999999973
236,-0.9333333333333331
237,-0.06666666666666687
238,-0.666666666666667
239,-1.0666666666666669
240,0.733333333333333
241,-0.06666666666666687
242,-0.6666666666666665
243,0.7999999999999998
244,-0.46666666666666634
245,-0.3333333333333335
246,1.5333333333333332
247,-0.8666666666666667
248,-1.4
249,-0.40000000000000036
250,2.0
