,Coef.,Std.Err.,P>|z|,nobs,ncountries,AIC,LLR_p,Prsq
Intercept,-9.617128641198386,3.4651388112498016,0.005513471354176819,1188,36,597.4264485298007,5.282343277169842e-78,0.38407631317750546
length_sequence,0.6074627293171571,0.15612694692206194,9.990370125411017e-05,1188,36,597.4264485298007,5.282343277169842e-78,0.38407631317750546
log_gdp_pc_ppp,0.5782791939857949,0.34365633177484994,0.0924282872963004,1188,36,597.4264485298007,5.282343277169842e-78,0.38407631317750546
reserves_coal,-0.5363788431556306,0.47912702713354693,0.262930329248677,1188,36,597.4264485298007,5.282343277169842e-78,0.38407631317750546
reserves_gas,-0.0053807057653497805,0.005677754660661194,0.34329137852333247,1188,36,597.4264485298007,5.282343277169842e-78,0.38407631317750546
