,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,0.2074057466966508,0.14238436817758726,0.1885546348881375,12.0,0.8914999206248277,0.8294998752675864
log_gdp_pc_ppp,0.28717090377971977,0.27563345897394853,0.3321180112216736,12.0,0.8914999206248277,0.8294998752675864
reserves_coal,-0.7812983622118688,0.16032416752388914,0.001807538231383113,12.0,0.8914999206248277,0.8294998752675864
reserves_oil,0.2576399359660517,0.19235931146505883,0.22230299320218477,12.0,0.8914999206248277,0.8294998752675864
year_adoption,-0.3889021503856632,0.19968236039923712,0.09249340497342629,12.0,0.8914999206248277,0.8294998752675864
