,average_treated,average_control,ATE
0,5.916666666666667,4.166666666666667,1.75
1,5.916666666666667,4.166666666666667,1.75
2,5.916666666666667,3.1666666666666665,2.7500000000000004
3,5.916666666666667,2.75,3.166666666666667
4,5.916666666666667,2.5833333333333335,3.3333333333333335
5,5.916666666666667,2.4166666666666665,3.5000000000000004
6,5.916666666666667,2.1666666666666665,3.7500000000000004
7,5.916666666666667,3.0833333333333335,2.8333333333333335
8,5.916666666666667,3.1666666666666665,2.7500000000000004
9,5.916666666666667,2.5,3.416666666666667
10,5.916666666666667,3.5833333333333335,2.3333333333333335
11,5.916666666666667,2.5833333333333335,3.3333333333333335
12,5.916666666666667,2.0,3.916666666666667
13,5.916666666666667,2.3333333333333335,3.5833333333333335
14,5.916666666666667,3.75,2.166666666666667
15,5.916666666666667,3.0833333333333335,2.8333333333333335
16,5.916666666666667,3.25,2.666666666666667
17,5.916666666666667,3.0,2.916666666666667
18,5.916666666666667,3.3333333333333335,2.5833333333333335
19,5.916666666666667,2.4166666666666665,3.5000000000000004
20,5.916666666666667,3.75,2.166666666666667
21,5.916666666666667,2.3333333333333335,3.5833333333333335
22,5.916666666666667,3.1666666666666665,2.7500000000000004
23,5.916666666666667,2.75,3.166666666666667
24,5.916666666666667,2.5,3.416666666666667
25,5.916666666666667,2.8333333333333335,3.0833333333333335
26,5.916666666666667,2.5,3.416666666666667
27,5.916666666666667,3.0,2.916666666666667
28,5.916666666666667,2.75,3.166666666666667
29,5.916666666666667,3.0,2.916666666666667
30,5.916666666666667,2.5833333333333335,3.3333333333333335
31,5.916666666666667,3.75,2.166666666666667
32,5.916666666666667,3.0,2.916666666666667
33,5.916666666666667,1.6666666666666667,4.25
34,5.916666666666667,3.75,2.166666666666667
35,5.916666666666667,2.6666666666666665,3.2500000000000004
36,5.916666666666667,2.8333333333333335,3.0833333333333335
37,5.916666666666667,2.8333333333333335,3.0833333333333335
38,5.916666666666667,3.9166666666666665,2.0000000000000004
39,5.916666666666667,2.6666666666666665,3.2500000000000004
40,5.916666666666667,1.8333333333333333,4.083333333333334
41,5.916666666666667,2.4166666666666665,3.5000000000000004
42,5.916666666666667,3.1666666666666665,2.7500000000000004
43,5.916666666666667,2.9166666666666665,3.0000000000000004
44,5.916666666666667,1.4166666666666667,4.5
45,5.916666666666667,1.9166666666666667,4.0
46,5.916666666666667,2.6666666666666665,3.2500000000000004
47,5.916666666666667,2.75,3.166666666666667
48,5.916666666666667,2.9166666666666665,3.0000000000000004
49,5.916666666666667,2.8333333333333335,3.0833333333333335
50,5.916666666666667,2.0,3.916666666666667
51,5.916666666666667,4.083333333333333,1.833333333333334
52,5.916666666666667,2.5,3.416666666666667
53,5.916666666666667,2.5,3.416666666666667
54,5.916666666666667,1.6666666666666667,4.25
55,5.916666666666667,2.8333333333333335,3.0833333333333335
56,5.916666666666667,3.0833333333333335,2.8333333333333335
57,5.916666666666667,2.5,3.416666666666667
58,5.916666666666667,3.25,2.666666666666667
59,5.916666666666667,2.8333333333333335,3.0833333333333335
60,5.916666666666667,2.5,3.416666666666667
61,5.916666666666667,2.0833333333333335,3.8333333333333335
62,5.916666666666667,2.75,3.166666666666667
63,5.916666666666667,3.0,2.916666666666667
64,5.916666666666667,2.9166666666666665,3.0000000000000004
65,5.916666666666667,3.1666666666666665,2.7500000000000004
66,5.916666666666667,2.3333333333333335,3.5833333333333335
67,5.916666666666667,3.5833333333333335,2.3333333333333335
68,5.916666666666667,2.5833333333333335,3.3333333333333335
69,5.916666666666667,3.4166666666666665,2.5000000000000004
70,5.916666666666667,2.5,3.416666666666667
71,5.916666666666667,3.8333333333333335,2.0833333333333335
72,5.916666666666667,2.4166666666666665,3.5000000000000004
73,5.916666666666667,2.0833333333333335,3.8333333333333335
74,5.916666666666667,3.8333333333333335,2.0833333333333335
