,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-5.551115123125783e-17,0.2047048309847416,0.9999999999999998,15.0,0.5959250602252593,0.37143898257262553
log_gdp_pc_ppp,-0.01561685101196264,0.47155271064997795,0.9743033910501079,15.0,0.5959250602252593,0.37143898257262553
reserves_oil,-0.09075071829588592,0.16340122619646513,0.592165559061455,15.0,0.5959250602252593,0.37143898257262553
coc,0.5780810661415047,0.3932245617389039,0.17560617373396414,15.0,0.5959250602252593,0.37143898257262553
hdi,-0.1989678264406978,0.2098213660447621,0.36775606680106476,15.0,0.5959250602252593,0.37143898257262553
length_sequence,0.3802427564652393,0.1675527180620388,0.04941217921129401,15.0,0.5959250602252593,0.37143898257262553
