,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-0.3613973280374506,0.2990416319833575,0.2521859409733923,13.0,0.33098282069396134,0.2701630771206851
length_sequence,0.7903442054672483,0.3137628078226693,0.028530143156403915,13.0,0.33098282069396134,0.2701630771206851
