,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-0.7441683304948608,0.18892439201541134,0.029156196790889925,8.0,0.24804891301995236,-0.754552536286778
log_gdp_pc_ppp,-0.13642400414337003,0.48467250568659465,0.7966436112227552,8.0,0.24804891301995236,-0.754552536286778
reserves_coal,-0.2383786534220751,0.15175737649215212,0.21426280395575292,8.0,0.24804891301995236,-0.754552536286778
reserves_oil,0.28271592191652345,0.10827985691165043,0.07961806040536035,8.0,0.24804891301995236,-0.754552536286778
length_sequence,0.10370385148430203,0.3899422338807252,0.8075101354240508,8.0,0.24804891301995236,-0.754552536286778
