,Coef.,Std.Err.,P>|z|,nobs,ncountries,AIC,LLR_p,Prsq
Intercept,-20.553968265459893,8.153886639718376,0.011710263076540365,1188,36,478.56063160409497,6.3348756811528235e-102,0.5149996219789166
length_sequence,0.3929854782916263,0.2524821075812782,0.11959199268278049,1188,36,478.56063160409497,6.3348756811528235e-102,0.5149996219789166
log_gdp_pc_ppp,0.38976891346161263,0.880565085084797,0.6580297752584497,1188,36,478.56063160409497,6.3348756811528235e-102,0.5149996219789166
coc,-1.1295094782535455,0.8304114585723192,0.17377280972592635,1188,36,478.56063160409497,6.3348756811528235e-102,0.5149996219789166
hdi,19.382538567950448,5.922843306513782,0.0010659871756926501,1188,36,478.56063160409497,6.3348756811528235e-102,0.5149996219789166
reserves_coal,-1.2907330298350193,1.6072362545490502,0.4219307483150989,1188,36,478.56063160409497,6.3348756811528235e-102,0.5149996219789166
reserves_gas,-0.0073324881176710975,0.004766935250999174,0.12400032018921817,1188,36,478.56063160409497,6.3348756811528235e-102,0.5149996219789166
reserves_oil,-1.4314512362917444,1.1218895533453221,0.20198067514352802,1188,36,478.56063160409497,6.3348756811528235e-102,0.5149996219789166
