,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,0.34509328437153114,0.14566383595402435,0.09858354595142671,8.0,0.7272340202673642,0.3635460472905163
log_gdp_pc_ppp,0.91433227643813,0.21502300776401512,0.023837549575368922,8.0,0.7272340202673642,0.3635460472905163
reserves_coal,0.4751953292634424,0.46264613587377607,0.37993761089207284,8.0,0.7272340202673642,0.3635460472905163
reserves_oil,-0.23676219465538687,0.20273523058274062,0.32724451263637194,8.0,0.7272340202673642,0.3635460472905163
year_adoption,-0.1276425771609439,0.3996267028012811,0.7703693117963548,8.0,0.7272340202673642,0.3635460472905163
