,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-0.4740663402564542,0.41088737485302357,0.3007490000047054,10.0,0.4744621232010574,0.054031821761903354
log_gdp_pc_ppp,-0.045445043043483735,0.46852523578196115,0.9264976419269676,10.0,0.4744621232010574,0.054031821761903354
reserves_coal,-0.4889435328017221,0.24157822209820468,0.09887025610834621,10.0,0.4744621232010574,0.054031821761903354
reserves_oil,0.37813957830841266,0.31936075487368504,0.28960853297049205,10.0,0.4744621232010574,0.054031821761903354
year_adoption,-0.046972031441760764,0.660082709538402,0.9460283979935751,10.0,0.4744621232010574,0.054031821761903354
