,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-0.36321332735555645,0.1835691618317086,0.07604717410626047,15.0,0.45021538659743876,0.23030154123641433
log_gdp_pc_ppp,-0.1027232004651763,0.3575744264344112,0.7797645231435241,15.0,0.45021538659743876,0.23030154123641433
reserves_coal,-0.4041579217947013,0.19317468427448933,0.0628973764277597,15.0,0.45021538659743876,0.23030154123641433
reserves_oil,0.5634710184839754,0.30091348040759525,0.09062955892686686,15.0,0.45021538659743876,0.23030154123641433
year_adoption,-0.4008332104590751,0.34808991379118914,0.2763051558997434,15.0,0.45021538659743876,0.23030154123641433
