,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,0.04552824976040604,0.3551829676905694,0.909731304463092,7.0,0.6919680742010564,0.07590422260316931
log_gdp_pc_ppp,1.1052269181416046,0.4716114786483877,0.14381647552589388,7.0,0.6919680742010564,0.07590422260316931
reserves_coal,0.8884540745482705,0.9055708277080183,0.4299940100129922,7.0,0.6919680742010564,0.07590422260316931
reserves_oil,-0.42671149657591134,0.4148493274562893,0.4118002635092991,7.0,0.6919680742010564,0.07590422260316931
year_adoption,0.49920638091065794,1.089842450826771,0.6918667067671544,7.0,0.6919680742010564,0.07590422260316931
