,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-0.46667370059276064,0.5325109787973422,0.4209339021603479,10.0,0.26243461774494103,-0.3276176880591062
log_gdp_pc_ppp,0.16109041832937945,0.2847222291333826,0.595988986387052,10.0,0.26243461774494103,-0.3276176880591062
reserves_coal,-0.20228130846366596,0.1925506226042362,0.34157178553481193,10.0,0.26243461774494103,-0.3276176880591062
reserves_oil,0.11309179015530721,0.3223596253982015,0.7400172707296682,10.0,0.26243461774494103,-0.3276176880591062
length_sequence,-0.03144519156311523,0.5032216307903806,0.952595472443917,10.0,0.26243461774494103,-0.3276176880591062
