,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,0.5241321731546079,0.199009429213871,0.030005084029838973,13.0,0.5433018685989788,0.31495280289846816
log_gdp_pc_ppp,0.36180852906259153,0.25838238181277223,0.19899766397183466,13.0,0.5433018685989788,0.31495280289846816
reserves_coal,-0.16419067060551024,0.15542686775435802,0.3216462847548642,13.0,0.5433018685989788,0.31495280289846816
reserves_oil,0.04676178505487018,0.14529086542489578,0.7558156299365847,13.0,0.5433018685989788,0.31495280289846816
year_adoption,-0.16212929822318764,0.21010353750627372,0.4624961153384227,13.0,0.5433018685989788,0.31495280289846816
