,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,0.036448124984283625,0.4718221455507243,0.9405865662716475,12.0,0.3618784651886474,-0.002762411846411128
log_gdp_pc_ppp,0.43255647067773884,0.8915873830153117,0.6423822436623637,12.0,0.3618784651886474,-0.002762411846411128
reserves_coal,0.21862087852335044,0.7276639072753588,0.7725666172191268,12.0,0.3618784651886474,-0.002762411846411128
reserves_oil,-0.30265285624512034,0.17446352795116035,0.12636991509170598,12.0,0.3618784651886474,-0.002762411846411128
length_sequence,0.3159093931310593,1.0503752682837593,0.7723351127077451,12.0,0.3618784651886474,-0.002762411846411128
