,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-0.39558309690047055,0.21888684728485347,0.09391056686856068,15.0,0.05628401781296366,-0.016309519278346674
year_adoption,-0.18845448066314918,0.2007261193863051,0.36491806312199127,15.0,0.05628401781296366,-0.016309519278346674
