,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,0.5703592850943047,0.4256046343733062,0.27266681720775643,8.0,0.36462767801852225,-0.48253541795678156
log_gdp_pc_ppp,0.33649754528998493,0.35603390282491426,0.41431964269665955,8.0,0.36462767801852225,-0.48253541795678156
reserves_coal,-0.20428589461029273,0.2641025216380622,0.4955804296858237,8.0,0.36462767801852225,-0.48253541795678156
reserves_oil,0.07762070634335697,0.2699503057530039,0.7924196383502455,8.0,0.36462767801852225,-0.48253541795678156
year_adoption,-0.24360140947881948,0.8917229221902195,0.8024410057861414,8.0,0.36462767801852225,-0.48253541795678156
