,Coef.,Std.Err.,P>|z|,nobs,ncountries,AIC,LLR_p,Prsq
Intercept,-4.700427060414029,0.856292057824566,4.0357491862815265e-08,1188,36,631.3553730204285,4.94093392780548e-72,0.34430738028735763
length_sequence,0.7339186610046531,0.17039581070753024,1.6537873062118434e-05,1188,36,631.3553730204285,4.94093392780548e-72,0.34430738028735763
reserves_gas,-0.007859552228595888,0.011852548380720583,0.5072596271986165,1188,36,631.3553730204285,4.94093392780548e-72,0.34430738028735763
