,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-0.5767324894148732,0.40275328276404926,0.21157568552950298,10.0,0.2917065643791351,-0.2749281841175568
log_gdp_pc_ppp,0.16901244448801478,0.2818493460408427,0.5748727655235922,10.0,0.2917065643791351,-0.2749281841175568
reserves_coal,-0.2901957350252963,0.16583578136023902,0.1405407942059051,10.0,0.2917065643791351,-0.2749281841175568
reserves_oil,0.16184456134490394,0.19141946381246633,0.43641381852212013,10.0,0.2917065643791351,-0.2749281841175568
length_sequence,-0.19947902480794083,0.3766439744381734,0.6190378970214445,10.0,0.2917065643791351,-0.2749281841175568
