,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-0.07620473572028076,0.27575989243324456,0.7892884394050987,13.0,0.4854778047915269,0.22821670718729037
log_gdp_pc_ppp,0.5670492750150696,0.4359969574851973,0.22961407181083138,13.0,0.4854778047915269,0.22821670718729037
reserves_coal,0.02576391713248756,0.16353166799942326,0.8787176676697521,13.0,0.4854778047915269,0.22821670718729037
reserves_oil,-0.28813300110413614,0.18023621367062378,0.14856771144567407,13.0,0.4854778047915269,0.22821670718729037
length_sequence,0.28216372097851067,0.31177870910017264,0.39189812620598485,13.0,0.4854778047915269,0.22821670718729037
