,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-0.6658760784192606,0.4294746505563726,0.18172834779324518,10.0,0.4310792208771268,-0.024057402421171714
log_gdp_pc_ppp,-0.0048922100760559195,0.5046945463922383,0.9926407733658641,10.0,0.4310792208771268,-0.024057402421171714
reserves_coal,-0.30522317717557634,0.29787092138886095,0.35250634842055106,10.0,0.4310792208771268,-0.024057402421171714
reserves_oil,0.4321094807328799,0.4136551254273713,0.3440512993879284,10.0,0.4310792208771268,-0.024057402421171714
year_adoption,0.14425765704924215,0.8280505356065794,0.8685317651459371,10.0,0.4310792208771268,-0.024057402421171714
