,Coef.,Std.Err.,P>|z|,nobs,ncountries,AIC,LLR_p,Prsq
Intercept,-5.125938117550516,0.9059538626192915,1.5309676327680557e-08,1188,36,640.059464267966,4.653356056700505e-71,0.3330840120482049
length_sequence,0.7879563906203247,0.17423440517542302,6.1144503466986766e-06,1188,36,640.059464267966,4.653356056700505e-71,0.3330840120482049
