,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,6.800116025829084e-16,0.1897871237544816,0.9999999999999972,15.0,0.7298563574275082,0.4597127148550164
log_gdp_pc_ppp,0.24802462417496274,0.7240062727586247,0.7419765366683249,15.0,0.7298563574275082,0.4597127148550164
reserves_coal,0.004481664498959523,0.5256324983322395,0.9934350382374153,15.0,0.7298563574275082,0.4597127148550164
reserves_gas,-0.8984538847390577,0.5321961833145982,0.13522755755189134,15.0,0.7298563574275082,0.4597127148550164
reserves_oil,0.7979201103785343,0.29942912653601306,0.032241661995019794,15.0,0.7298563574275082,0.4597127148550164
coc,-0.4773610873860935,0.545352851708979,0.41042392061902444,15.0,0.7298563574275082,0.4597127148550164
hdi,0.13131146192217488,0.2392262735891917,0.6001359464095795,15.0,0.7298563574275082,0.4597127148550164
year_adoption,-0.727827653881188,0.43200301750419956,0.13590199465842218,15.0,0.7298563574275082,0.4597127148550164
