,ATE
0,-1.0022222222222217
1,-0.04666666666666641
2,0.13444444444444414
3,-0.9788888888888878
4,-0.8844444444444446
5,-0.018888888888888733
6,0.6322222222222216
7,-1.0177777777777783
8,0.7555555555555551
9,1.3644444444444432
10,0.7777777777777781
11,0.2966666666666664
12,0.8011111111111111
13,0.5033333333333334
14,1.3933333333333326
15,-0.2522222222222217
16,0.0011111111111095084
17,-0.11111111111110983
18,0.22999999999999865
19,0.13666666666666671
20,-1.6366666666666654
21,-0.23555555555555596
22,-1.2366666666666664
23,-0.09666666666666712
24,-1.2000000000000002
25,0.05222222222222195
26,-1.017777777777778
27,-1.0611111111111122
28,-0.155555555555555
29,0.5677777777777782
30,0.36333333333333373
31,-0.858888888888889
32,-0.5566666666666671
33,-0.4200000000000004
34,-0.33333333333333304
35,-0.8466666666666671
36,0.8666666666666667
37,-1.0444444444444456
38,-0.9477777777777776
39,-0.20777777777777828
40,0.7133333333333329
41,-0.1344444444444446
42,1.3766666666666674
43,-0.4533333333333336
44,-0.36888888888888793
45,1.4099999999999997
46,0.3300000000000005
47,-1.2799999999999985
48,-0.16999999999999904
49,-0.39111111111111097
50,-0.39888888888888907
51,-0.46444444444444377
52,0.3955555555555552
53,-0.7922222222222226
54,0.35444444444444345
55,-0.0033333333333334103
56,0.73
57,0.33222222222222264
58,0.7800000000000007
59,-0.9722222222222223
60,0.9477777777777776
61,-0.24444444444444358
62,0.13888888888888928
63,0.56
64,-0.06000000000000005
65,0.08111111111111136
66,0.015555555555555767
67,0.5866666666666664
68,-0.013333333333332753
69,0.7111111111111108
70,-0.2411111111111106
71,-1.0044444444444443
72,0.057777777777777484
73,0.21666666666666634
74,-0.21888888888888847
75,1.8988888888888886
76,1.3288888888888888
77,0.0
78,-0.9955555555555553
79,1.3666666666666671
80,-1.5433333333333326
81,0.5755555555555563
82,0.27555555555555555
83,-0.6611111111111114
84,-0.1766666666666663
85,-0.8222222222222215
86,0.4355555555555548
87,-1.1955555555555555
88,-0.5244444444444456
89,0.0022222222222234578
90,0.3044444444444445
91,0.698888888888888
92,-0.35555555555555607
93,-1.2855555555555558
94,-0.068888888888889
95,-0.4577777777777783
96,-0.7188888888888885
97,0.21666666666666723
98,0.4833333333333334
99,-0.8388888888888886
100,0.621111111111111
101,-0.9055555555555559
102,-0.6066666666666665
103,-0.08777777777777773
104,1.3544444444444443
105,1.2133333333333338
106,-1.043333333333334
107,-1.125555555555556
108,0.49444444444444446
109,-0.3211111111111107
110,0.9266666666666659
111,0.6177777777777775
