,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,-0.7577860557019656,0.1428405927726801,0.03374310311713933,7.0,0.7315948784358626,0.19478463530758772
log_gdp_pc_ppp,0.09438329520485339,0.17970419378469477,0.6518510785662575,7.0,0.7315948784358626,0.19478463530758772
reserves_coal,-1.2321993007026943,0.6738317905736176,0.2089598355718789,7.0,0.7315948784358626,0.19478463530758772
reserves_oil,0.602032623424215,0.19993005792376023,0.09485390352193686,7.0,0.7315948784358626,0.19478463530758772
length_sequence,-1.2450463911894756,0.7392048379639797,0.23416020465411203,7.0,0.7315948784358626,0.19478463530758772
