,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,6.800116025829084e-16,0.18170704510727206,0.9999999999999971,15.0,0.6462416045541122,0.504738246375757
log_gdp_pc_ppp,-0.18323570415241033,0.3737983391100957,0.6345694991285764,15.0,0.6462416045541122,0.504738246375757
reserves_coal,-0.6136855184251465,0.19253881920392868,0.009697937051917056,15.0,0.6462416045541122,0.504738246375757
reserves_oil,0.540371003392202,0.2731326566395219,0.07607232157715671,15.0,0.6462416045541122,0.504738246375757
year_adoption,-0.7871901262234663,0.31976458524402085,0.03357399874285381,15.0,0.6462416045541122,0.504738246375757
