,Coef.,Std.Err.,P>|t|,nobs,rsq,rsq_adj
Intercept,0.24817397640907213,0.3006268581741027,0.4239662997502256,15.0,0.19071750847845148,0.12846500913064007
length_sequence,0.5699608586329901,0.2665606561559606,0.05206516786058361,15.0,0.19071750847845148,0.12846500913064007
